ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
T-1035,High,On Hold,Hardware,Slow Internet,Automatically generated ticket #36,2024-07-23,,Sara
T-1036,High,In Progress,Email,Malware Detected,Automatically generated ticket #37,2024-11-18,,ITSupport
T-1037,Low,In Progress,Hardware,Software Installation Request,Automatically generated ticket #38,2024-08-28,2024-09-01,ITSupport
T-1038,Medium,In Progress,Email,Slow Internet,Automatically generated ticket #39,2024-09-09,2024-09-19,Anna
T-1039,Critical,On Hold,Network,Password Reset,Automatically generated ticket #40,2024-07-31,,Admin
T-1040,Critical,Open,Software,Printer Not Responding,Automatically generated ticket #41,2024-10-19,,David
T-1041,High,In Progress,Software,Password Reset,Automatically generated ticket #42,2024-05-26,2024-06-02,Anna
T-1042,High,Resolved,Security,VPN Issue,Automatically generated ticket #43,2024-11-08,2024-11-14,ITSupport
T-1043,Critical,In Progress,Security,Malware Detected,Automatically generated ticket #44,2024-01-25,2024-02-11,ITSupport
T-1044,High,In Progress,Security,System Crash,Automatically generated ticket #45,2024-10-27,2024-11-15,SecurityTeam
T-1045,High,In Progress,Email,Malware Detected,Automatically generated ticket #46,2024-10-01,2024-10-17,Admin
T-1046,Low,Resolved,Software,Slow Internet,Automatically generated ticket #47,2023-11-22,,Anna
T-1047,Low,On Hold,Network,Printer Not Responding,Automatically generated ticket #48,2024-02-11,2024-02-23,Anna
T-1048,Medium,Open,Security,Account Locked,Automatically generated ticket #49,2023-11-30,2023-12-05,ITSupport
T-1049,High,Open,Security,VPN Issue,Automatically generated ticket #50,2024-01-07,2024-01-16,Michael
T-1050,Low,On Hold,Access Request,Unauthorized Login Attempt,Automatically generated ticket #51,2023-10-18,2023-11-02,ITSupport
T-1051,High,In Progress,Email,Software Installation Request,Automatically generated ticket #52,2023-06-15,,Sara
T-1052,Low,Open,Access Request,Printer Not Responding,Automatically generated ticket #53,2024-03-02,2024-03-18,David
T-1053,High,Open,Hardware,Software Installation Request,Automatically generated ticket #54,2024-06-01,2024-06-20,Sara
T-1054,Medium,Resolved,Hardware,VPN Issue,Automatically generated ticket #55,2024-04-12,2024-04-28,ITSupport
T-1055,Medium,In Progress,Software,Printer Not Responding,Automatically generated ticket #56,2023-01-04,,David
T-1056,High,Open,Email,Email Not Working,Automatically generated ticket #57,2023-09-09,2023-09-19,Admin
T-1057,Medium,Resolved,Security,Password Reset,Automatically generated ticket #58,2024-07-16,2024-08-02,David
T-1058,High,On Hold,Hardware,Malware Detected,Automatically generated ticket #59,2024-02-16,,SecurityTeam
T-1059,Medium,Open,Network,VPN Issue,Automatically generated ticket #60,2023-01-22,2023-02-04,Sara
T-1060,Low,Resolved,Email,Malware Detected,Automatically generated ticket #61,2023-06-27,2023-07-12,Anna
T-1061,Critical,Open,Email,System Crash,Automatically generated ticket #62,2024-01-09,,Admin
T-1062,Medium,Open,Hardware,VPN Issue,Automatically generated ticket #63,2023-12-30,2024-01-08,Admin
T-1063,Medium,Resolved,Security,Password Reset,Automatically generated ticket #64,2024-11-25,2024-12-10,Sara
T-1064,Low,Resolved,Software,Email Not Working,Automatically generated ticket #65,2023-07-21,2023-08-10,Admin
T-1065,Medium,On Hold,Network,System Crash,Automatically generated ticket #66,2023-09-29,2023-10-15,David
T-1066,Critical,In Progress,Access Request,Malware Detected,Automatically generated ticket #67,2023-01-31,2023-02-08,Sara
T-1067,Medium,Resolved,Hardware,Account Locked,Automatically generated ticket #68,2023-10-03,2023-10-07,Anna
T-1068,Medium,Resolved,Email,Password Reset,Automatically generated ticket #69,2023-11-09,2023-11-27,Michael
T-1069,Medium,In Progress,Access Request,Slow Internet,Automatically generated ticket #70,2023-03-12,,Michael
T-1070,High,In Progress,Network,Unauthorized Login Attempt,Automatically generated ticket #71,2024-04-07,2024-04-21,Sara
T-1071,Low,On Hold,Software,Software Installation Request,Automatically generated ticket #72,2023-09-25,2023-10-14,Anna
T-1072,High,On Hold,Email,Software Installation Request,Automatically generated ticket #73,2023-11-19,2023-12-06,ITSupport
T-1073,High,In Progress,Hardware,Printer Not Responding,Automatically generated ticket #74,2023-10-12,,David
T-1074,Critical,In Progress,Access Request,Unauthorized Login Attempt,Automatically generated ticket #75,2023-07-20,,Anna
T-1075,High,In Progress,Hardware,Slow Internet,Automatically generated ticket #76,2023-07-02,2023-07-16,SecurityTeam
T-1076,Low,In Progress,Network,Email Not Working,Automatically generated ticket #77,2024-07-22,2024-07-31,Admin
T-1077,Medium,Open,Hardware,Slow Internet,Automatically generated ticket #78,2024-05-14,,David
T-1078,Medium,In Progress,Network,Slow Internet,Automatically generated ticket #79,2024-05-15,2024-06-02,Michael
T-1079,Low,Resolved,Software,VPN Issue,Automatically generated ticket #80,2023-08-12,,David
T-1080,Medium,On Hold,Email,System Crash,Automatically generated ticket #81,2024-09-21,2024-10-01,David
T-1081,Low,Open,Security,Unauthorized Login Attempt,Automatically generated ticket #82,2023-02-11,2023-02-18,SecurityTeam
T-1082,Low,In Progress,Email,Password Reset,Automatically generated ticket #83,2024-01-21,2024-01-29,SecurityTeam
T-1083,Critical,On Hold,Hardware,Password Reset,Automatically generated ticket #84,2023-11-11,2023-11-12,Anna
T-1084,Low,On Hold,Hardware,Slow Internet,Automatically generated ticket #85,2023-08-05,2023-08-12,Admin
T-1085,High,In Progress,Email,Password Reset,Automatically generated ticket #86,2024-06-30,2024-07-04,Michael
T-1086,Critical,Open,Email,VPN Issue,Automatically generated ticket #87,2023-08-08,2023-08-10,David
T-1087,Critical,In Progress,Access Request,Software Installation Request,Automatically generated ticket #88,2023-01-18,2023-01-25,David
T-1088,Critical,Open,Email,Slow Internet,Automatically generated ticket #89,2023-07-04,2023-07-11,David
T-1089,High,Open,Security,Unauthorized Login Attempt,Automatically generated ticket #90,2023-02-12,,ITSupport
T-1090,High,Resolved,Access Request,Account Locked,Automatically generated ticket #91,2023-01-21,2023-02-04,Sara
T-1091,High,On Hold,Security,Malware Detected,Automatically generated ticket #92,2023-12-13,,SecurityTeam
T-1092,High,In Progress,Hardware,Email Not Working,Automatically generated ticket #93,2024-08-17,2024-09-01,David
T-1093,Low,In Progress,Hardware,Unauthorized Login Attempt,Automatically generated ticket #94,2024-10-31,,Michael
T-1094,Medium,Resolved,Hardware,Slow Internet,Automatically generated ticket #95,2024-10-17,2024-10-23,Anna
T-1095,Critical,In Progress,Hardware,Malware Detected,Automatically generated ticket #96,2024-09-22,,ITSupport
T-1096,Critical,In Progress,Access Request,Unauthorized Login Attempt,Automatically generated ticket #97,2023-02-08,,Sara
T-1097,Critical,Open,Access Request,Account Locked,Automatically generated ticket #98,2023-12-24,2024-01-09,Michael
T-1098,Medium,In Progress,Security,Software Installation Request,Automatically generated ticket #99,2023-12-29,,Anna
T-1099,Critical,On Hold,Email,Password Reset,Automatically generated ticket #100,2023-12-08,2023-12-27,ITSupport
T-1100,Medium,Resolved,Hardware,Software Installation Request,Automatically generated ticket #101,2023-07-25,2023-08-07,Michael
T-1101,Low,Open,Email,VPN Issue,Automatically generated ticket #102,2023-07-21,2023-08-01,Sara
T-1102,Low,Open,Access Request,System Crash,Automatically generated ticket #103,2023-09-25,2023-10-01,Anna
T-1103,Medium,Open,Security,VPN Issue,Automatically generated ticket #104,2024-07-28,2024-08-11,SecurityTeam
T-1104,High,Resolved,Network,Password Reset,Automatically generated ticket #105,2024-10-08,,Michael
T-1105,Low,On Hold,Security,Email Not Working,Automatically generated ticket #106,2023-04-06,,Admin
T-1106,Critical,In Progress,Hardware,Password Reset,Automatically generated ticket #107,2023-12-31,2024-01-16,Anna
T-1107,Medium,In Progress,Security,Software Installation Request,Automatically generated ticket #108,2023-07-27,,Admin
T-1108,Critical,Open,Network,Slow Internet,Automatically generated ticket #109,2024-06-04,2024-06-21,Sara
T-1109,Medium,Open,Hardware,Email Not Working,Automatically generated ticket #110,2023-07-16,2023-07-29,ITSupport
T-1110,Medium,In Progress,Software,Password Reset,Automatically generated ticket #111,2023-10-10,2023-10-25,ITSupport
T-1111,Low,In Progress,Access Request,Unauthorized Login Attempt,Automatically generated ticket #112,2023-10-27,2023-11-15,ITSupport
T-1112,Medium,On Hold,Access Request,Malware Detected,Automatically generated ticket #113,2024-06-22,,Michael
T-1113,Critical,In Progress,Network,Printer Not Responding,Automatically generated ticket #114,2023-06-07,,Sara
T-1114,Medium,In Progress,Access Request,Email Not Working,Automatically generated ticket #115,2024-01-29,,Sara
T-1115,Critical,In Progress,Security,Malware Detected,Automatically generated ticket #116,2023-01-03,,ITSupport
T-1116,Medium,Open,Network,Printer Not Responding,Automatically generated ticket #117,2024-04-22,,Michael
T-1117,Low,Resolved,Security,Malware Detected,Automatically generated ticket #118,2024-09-09,2024-09-15,ITSupport
T-1118,High,Resolved,Hardware,Account Locked,Automatically generated ticket #119,2023-10-12,,ITSupport
T-1119,Low,Open,Email,System Crash,Automatically generated ticket #120,2023-10-27,2023-11-02,Admin
T-1120,Medium,On Hold,Access Request,Software Installation Request,Automatically generated ticket #121,2023-07-27,2023-08-11,Sara
T-1121,High,On Hold,Access Request,Malware Detected,Automatically generated ticket #122,2023-05-14,,David
T-1122,High,Resolved,Security,Account Locked,Automatically generated ticket #123,2023-05-04,2023-05-23,Michael
T-1123,Low,In Progress,Email,Malware Detected,Automatically generated ticket #124,2024-04-18,2024-04-20,SecurityTeam
T-1124,High,Resolved,Security,VPN Issue,Automatically generated ticket #125,2024-09-26,2024-09-30,Sara
T-1125,High,On Hold,Security,Unauthorized Login Attempt,Automatically generated ticket #126,2023-02-02,2023-02-10,ITSupport
T-1126,Critical,Open,Security,Account Locked,Automatically generated ticket #127,2023-12-07,2023-12-22,Anna
T-1127,Medium,On Hold,Network,System Crash,Automatically generated ticket #128,2023-05-23,2023-06-02,Michael
T-1128,Critical,In Progress,Email,Software Installation Request,Automatically generated ticket #129,2024-10-31,,SecurityTeam
T-1129,Critical,On Hold,Network,Slow Internet,Automatically generated ticket #130,2023-10-10,2023-10-25,SecurityTeam
T-1130,Critical,In Progress,Hardware,Email Not Working,Automatically generated ticket #131,2023-06-12,,Michael
T-1131,Critical,Open,Network,Unauthorized Login Attempt,Automatically generated ticket #132,2023-05-20,2023-05-23,David
T-1132,Medium,In Progress,Software,Account Locked,Automatically generated ticket #133,2024-01-04,,ITSupport
T-1133,Critical,On Hold,Email,Account Locked,Automatically generated ticket #134,2023-08-06,2023-08-24,Michael
T-1134,High,On Hold,Software,VPN Issue,Automatically generated ticket #135,2023-09-25,2023-10-10,SecurityTeam
T-1135,Medium,Resolved,Network,Email Not Working,Automatically generated ticket #136,2024-08-31,2024-09-07,SecurityTeam
T-1136,Critical,Resolved,Network,VPN Issue,Automatically generated ticket #137,2023-02-04,,Sara
T-1137,Medium,Open,Email,Printer Not Responding,Automatically generated ticket #138,2024-08-23,2024-08-30,David
T-1138,Medium,On Hold,Hardware,System Crash,Automatically generated ticket #139,2023-06-18,,Anna
T-1139,High,Open,Software,Slow Internet,Automatically generated ticket #140,2023-04-23,2023-04-30,Michael
T-1140,Low,In Progress,Security,Unauthorized Login Attempt,Automatically generated ticket #141,2024-11-17,2024-11-18,Admin
T-1141,Critical,On Hold,Email,System Crash,Automatically generated ticket #142,2023-12-07,2023-12-16,Sara
T-1142,Low,On Hold,Email,Email Not Working,Automatically generated ticket #143,2023-01-10,2023-01-14,SecurityTeam
T-1143,Critical,On Hold,Software,Password Reset,Automatically generated ticket #144,2023-01-18,,Michael
T-1144,Critical,In Progress,Network,Software Installation Request,Automatically generated ticket #145,2023-12-20,2024-01-05,Admin
T-1145,Critical,Resolved,Email,Slow Internet,Automatically generated ticket #146,2024-09-04,2024-09-21,ITSupport
T-1146,Medium,On Hold,Email,Malware Detected,Automatically generated ticket #147,2023-05-18,2023-06-07,Admin
T-1147,Medium,In Progress,Network,Software Installation Request,Automatically generated ticket #148,2024-07-12,2024-08-01,ITSupport
T-1148,Medium,Resolved,Email,Unauthorized Login Attempt,Automatically generated ticket #149,2023-09-15,2023-09-30,ITSupport
T-1149,Critical,In Progress,Security,VPN Issue,Automatically generated ticket #150,2024-02-17,2024-03-06,Michael
T-1150,High,Resolved,Hardware,Unauthorized Login Attempt,Automatically generated ticket #151,2023-07-12,,Admin
T-1151,Low,On Hold,Email,Unauthorized Login Attempt,Automatically generated ticket #152,2023-06-27,2023-06-29,Michael
T-1152,Low,Resolved,Access Request,Password Reset,Automatically generated ticket #153,2024-01-18,2024-01-24,SecurityTeam
T-1153,Medium,Open,Security,Malware Detected,Automatically generated ticket #154,2023-01-26,2023-02-14,ITSupport
T-1154,Critical,On Hold,Hardware,Printer Not Responding,Automatically generated ticket #155,2023-04-13,2023-04-27,Anna
T-1155,Low,In Progress,Access Request,VPN Issue,Automatically generated ticket #156,2023-06-09,2023-06-21,Sara
T-1156,Medium,Resolved,Security,Unauthorized Login Attempt,Automatically generated ticket #157,2023-06-23,,SecurityTeam
T-1157,Critical,Open,Email,Software Installation Request,Automatically generated ticket #158,2024-03-06,2024-03-14,Admin
T-1158,Medium,On Hold,Hardware,Unauthorized Login Attempt,Automatically generated ticket #159,2024-11-04,2024-11-12,Michael
T-1159,High,On Hold,Email,VPN Issue,Automatically generated ticket #160,2024-11-16,2024-11-26,Admin
T-1160,Medium,Resolved,Email,Unauthorized Login Attempt,Automatically generated ticket #161,2023-10-26,2023-11-12,Sara
T-1161,Critical,In Progress,Network,Email Not Working,Automatically generated ticket #162,2023-09-20,2023-09-29,Sara
T-1162,Medium,Resolved,Network,Slow Internet,Automatically generated ticket #163,2024-06-10,2024-06-26,SecurityTeam
T-1163,High,In Progress,Hardware,Email Not Working,Automatically generated ticket #164,2023-03-05,2023-03-07,David
T-1164,Medium,On Hold,Hardware,Email Not Working,Automatically generated ticket #165,2023-09-28,2023-10-13,Admin
T-1165,Low,Open,Access Request,Malware Detected,Automatically generated ticket #166,2023-12-02,2023-12-17,Michael
T-1166,Medium,Resolved,Email,Unauthorized Login Attempt,Automatically generated ticket #167,2023-05-21,2023-05-31,SecurityTeam
T-1167,Critical,Resolved,Network,Account Locked,Automatically generated ticket #168,2023-01-16,2023-01-24,ITSupport
T-1168,Low,Resolved,Email,System Crash,Automatically generated ticket #169,2024-05-16,2024-05-26,SecurityTeam
T-1169,High,On Hold,Security,Unauthorized Login Attempt,Automatically generated ticket #170,2023-07-15,,Admin
T-1170,Critical,On Hold,Network,Slow Internet,Automatically generated ticket #171,2024-07-15,2024-07-23,Admin
T-1171,Medium,On Hold,Hardware,VPN Issue,Automatically generated ticket #172,2024-04-19,2024-05-05,Michael
T-1172,Medium,Resolved,Email,Account Locked,Automatically generated ticket #173,2023-05-31,2023-06-16,Anna
T-1173,Medium,Resolved,Access Request,Password Reset,Automatically generated ticket #174,2024-05-15,2024-05-18,ITSupport
T-1174,High,In Progress,Security,VPN Issue,Automatically generated ticket #175,2024-04-15,2024-04-21,David
T-1175,High,Resolved,Network,Slow Internet,Automatically generated ticket #176,2023-04-29,2023-05-13,Michael
T-1176,Critical,Resolved,Security,Account Locked,Automatically generated ticket #177,2023-08-29,2023-09-17,David
T-1177,Low,Open,Software,Email Not Working,Automatically generated ticket #178,2023-01-22,2023-02-10,Michael
T-1178,High,Open,Security,Unauthorized Login Attempt,Automatically generated ticket #179,2024-10-10,2024-10-28,Anna
T-1179,Critical,In Progress,Network,Password Reset,Automatically generated ticket #180,2023-11-10,2023-11-29,SecurityTeam
T-1180,Critical,Resolved,Security,Software Installation Request,Automatically generated ticket #181,2023-03-17,2023-03-22,David
T-1181,High,On Hold,Email,Slow Internet,Automatically generated ticket #182,2024-03-30,2024-04-13,Michael
T-1182,High,Resolved,Software,Malware Detected,Automatically generated ticket #183,2024-01-22,2024-02-08,SecurityTeam
T-1183,Critical,Resolved,Email,VPN Issue,Automatically generated ticket #184,2024-07-01,2024-07-13,Sara
T-1184,High,In Progress,Access Request,Slow Internet,Automatically generated ticket #185,2024-05-19,2024-05-25,David
T-1185,Critical,Open,Access Request,Email Not Working,Automatically generated ticket #186,2023-01-13,2023-01-19,David
T-1186,High,In Progress,Security,Email Not Working,Automatically generated ticket #187,2024-05-23,,SecurityTeam
T-1187,High,In Progress,Hardware,Email Not Working,Automatically generated ticket #188,2023-06-02,2023-06-15,Anna
T-1188,Medium,Resolved,Software,System Crash,Automatically generated ticket #189,2024-05-01,,David
T-1189,Low,Open,Email,Account Locked,Automatically generated ticket #190,2024-11-22,2024-11-26,SecurityTeam
T-1190,Medium,In Progress,Access Request,Software Installation Request,Automatically generated ticket #191,2024-11-02,2024-11-04,Anna
T-1191,Medium,In Progress,Hardware,Slow Internet,Automatically generated ticket #192,2023-03-21,2023-03-28,David
T-1192,Critical,Resolved,Email,Slow Internet,Automatically generated ticket #193,2024-10-08,2024-10-23,Admin
T-1193,Medium,On Hold,Hardware,Malware Detected,Automatically generated ticket #194,2023-04-15,2023-04-18,SecurityTeam
T-1194,Low,Open,Security,System Crash,Automatically generated ticket #195,2024-09-18,2024-10-01,Anna
T-1195,Medium,Open,Access Request,VPN Issue,Automatically generated ticket #196,2024-10-06,,Anna
T-1196,Low,Open,Email,VPN Issue,Automatically generated ticket #197,2024-09-12,2024-09-18,ITSupport
T-1197,High,Open,Software,Email Not Working,Automatically generated ticket #198,2024-10-19,2024-10-26,ITSupport
T-1198,Critical,Resolved,Network,System Crash,Automatically generated ticket #199,2023-05-07,2023-05-24,Anna
T-1199,Low,On Hold,Email,Account Locked,Automatically generated ticket #200,2023-04-13,,Michael
T-1200,Critical,Resolved,Software,Email Not Working,Automatically generated ticket #201,2024-11-17,,Sara
T-1201,Critical,On Hold,Network,Malware Detected,Automatically generated ticket #202,2024-10-30,2024-11-11,Admin
T-1202,Low,Resolved,Network,Software Installation Request,Automatically generated ticket #203,2024-06-16,2024-06-21,Michael
T-1203,High,Resolved,Security,System Crash,Automatically generated ticket #204,2023-01-23,2023-01-27,Sara
T-1204,Low,Open,Hardware,Email Not Working,Automatically generated ticket #205,2024-06-16,2024-06-28,Sara
T-1205,Critical,Open,Network,Account Locked,Automatically generated ticket #206,2024-11-09,,David
T-1206,Medium,In Progress,Security,Unauthorized Login Attempt,Automatically generated ticket #207,2024-03-25,2024-04-11,Michael
T-1207,Critical,Open,Software,Software Installation Request,Automatically generated ticket #208,2023-09-03,2023-09-23,David
T-1208,Critical,Open,Hardware,VPN Issue,Automatically generated ticket #209,2024-10-19,2024-10-21,SecurityTeam
T-1209,High,In Progress,Hardware,Account Locked,Automatically generated ticket #210,2024-09-10,2024-09-15,ITSupport
T-1210,High,Open,Software,Printer Not Responding,Automatically generated ticket #211,2023-12-12,2023-12-15,David
T-1211,High,Open,Software,Account Locked,Automatically generated ticket #212,2023-08-04,2023-08-16,Michael
T-1212,Low,Open,Hardware,Email Not Working,Automatically generated ticket #213,2023-12-11,2023-12-13,David
T-1213,Low,Open,Software,Unauthorized Login Attempt,Automatically generated ticket #214,2024-08-19,,Michael
T-1214,Critical,Open,Network,Slow Internet,Automatically generated ticket #215,2024-08-15,2024-08-22,SecurityTeam
T-1215,Critical,Open,Email,Email Not Working,Automatically generated ticket #216,2023-09-17,,Sara
T-1216,Medium,Resolved,Email,Malware Detected,Automatically generated ticket #217,2024-02-20,2024-02-22,ITSupport
T-1217,Low,Open,Hardware,VPN Issue,Automatically generated ticket #218,2023-10-26,,Anna
T-1218,Medium,On Hold,Hardware,Unauthorized Login Attempt,Automatically generated ticket #219,2024-01-21,2024-02-01,David
T-1219,Low,In Progress,Email,Unauthorized Login Attempt,Automatically generated ticket #220,2024-10-07,,ITSupport
T-1220,Medium,On Hold,Access Request,Software Installation Request,Automatically generated ticket #221,2023-10-28,2023-11-09,ITSupport
T-1221,High,Open,Software,Slow Internet,Automatically generated ticket #222,2023-09-22,2023-10-02,ITSupport
T-1222,Medium,Open,Email,System Crash,Automatically generated ticket #223,2024-01-12,2024-02-01,Anna
T-1223,Medium,Resolved,Security,System Crash,Automatically generated ticket #224,2024-02-07,2024-02-16,SecurityTeam
T-1224,High,In Progress,Access Request,Software Installation Request,Automatically generated ticket #225,2024-02-14,2024-02-26,Anna
T-1225,Medium,Resolved,Hardware,Slow Internet,Automatically generated ticket #226,2023-05-15,2023-05-23,David
T-1226,Medium,Open,Access Request,Software Installation Request,Automatically generated ticket #227,2024-03-20,,Michael
T-1227,Critical,Resolved,Hardware,System Crash,Automatically generated ticket #228,2024-07-23,,Michael
T-1228,Medium,On Hold,Email,VPN Issue,Automatically generated ticket #229,2024-08-12,2024-08-19,David
T-1229,Low,In Progress,Email,Email Not Working,Automatically generated ticket #230,2024-01-09,2024-01-18,David
T-1230,High,In Progress,Security,Account Locked,Automatically generated ticket #231,2024-01-14,,David
T-1231,Low,In Progress,Access Request,Malware Detected,Automatically generated ticket #232,2024-08-16,2024-08-17,SecurityTeam
T-1232,Low,In Progress,Network,Slow Internet,Automatically generated ticket #233,2023-01-23,2023-02-01,ITSupport
T-1233,High,On Hold,Email,VPN Issue,Automatically generated ticket #234,2023-02-27,2023-03-18,Sara
T-1234,Critical,In Progress,Security,Account Locked,Automatically generated ticket #235,2024-10-23,2024-11-11,Sara
T-1235,Medium,Open,Network,Password Reset,Automatically generated ticket #236,2024-03-14,,Michael
T-1236,High,In Progress,Email,Account Locked,Automatically generated ticket #237,2023-07-06,2023-07-17,SecurityTeam
T-1237,Medium,On Hold,Software,Password Reset,Automatically generated ticket #238,2023-03-30,2023-04-01,SecurityTeam
T-1238,Low,Open,Hardware,VPN Issue,Automatically generated ticket #239,2023-11-21,2023-12-11,ITSupport
T-1239,Critical,On Hold,Hardware,Software Installation Request,Automatically generated ticket #240,2023-07-05,2023-07-22,David
T-1240,Medium,In Progress,Software,Printer Not Responding,Automatically generated ticket #241,2023-12-16,2023-12-28,David
T-1241,Medium,Open,Security,Email Not Working,Automatically generated ticket #242,2023-01-29,,Michael
T-1242,Critical,On Hold,Network,Printer Not Responding,Automatically generated ticket #243,2024-07-28,2024-08-09,SecurityTeam
T-1243,Medium,On Hold,Access Request,Account Locked,Automatically generated ticket #244,2023-01-06,2023-01-15,David
T-1244,High,In Progress,Email,VPN Issue,Automatically generated ticket #245,2023-06-03,2023-06-05,Sara
T-1245,High,In Progress,Hardware,Slow Internet,Automatically generated ticket #246,2023-10-10,,Sara
T-1246,Critical,In Progress,Software,Software Installation Request,Automatically generated ticket #247,2024-02-13,,Anna
T-1247,Low,Open,Hardware,Unauthorized Login Attempt,Automatically generated ticket #248,2024-08-03,2024-08-18,David
T-1248,High,Resolved,Access Request,Email Not Working,Automatically generated ticket #249,2023-11-23,2023-12-10,Anna
T-1249,Critical,Resolved,Email,VPN Issue,Automatically generated ticket #250,2024-11-05,2024-11-25,SecurityTeam
T-1250,Medium,In Progress,Email,Password Reset,Automatically generated ticket #251,2024-06-15,,Anna
T-1251,Critical,In Progress,Email,Account Locked,Automatically generated ticket #252,2024-11-06,2024-11-10,David
T-1252,High,Open,Access Request,Software Installation Request,Automatically generated ticket #253,2024-08-05,2024-08-19,ITSupport
T-1253,Critical,On Hold,Network,Software Installation Request,Automatically generated ticket #254,2023-10-15,2023-10-23,SecurityTeam
T-1254,High,Open,Network,Account Locked,Automatically generated ticket #255,2024-05-17,,Anna
T-1255,Medium,Open,Network,Password Reset,Automatically generated ticket #256,2023-09-06,2023-09-16,SecurityTeam
T-1256,Critical,Open,Security,System Crash,Automatically generated ticket #257,2024-09-13,,David
T-1257,Medium,In Progress,Network,VPN Issue,Automatically generated ticket #258,2024-05-18,2024-06-07,David
T-1258,Medium,Open,Hardware,Software Installation Request,Automatically generated ticket #259,2023-04-18,2023-04-21,Sara
T-1259,Low,Resolved,Email,Malware Detected,Automatically generated ticket #260,2024-01-17,2024-01-28,David
T-1260,Low,Resolved,Network,Software Installation Request,Automatically generated ticket #261,2023-11-14,2023-12-04,David
T-1261,High,Open,Security,Printer Not Responding,Automatically generated ticket #262,2023-10-05,2023-10-13,Admin
T-1262,High,In Progress,Email,Unauthorized Login Attempt,Automatically generated ticket #263,2024-09-20,,Admin
